Website (Geeksforgeeks).        Topics,Link
Semi-Supervised Learning in ML,https://www.geeksforgeeks.org/ml-semi-supervised-learning/
Self-Supervised Learning (SSL),https://www.geeksforgeeks.org/self-supervised-learning-ssl/
Getting started with Classification,https://www.geeksforgeeks.org/getting-started-with-classification/
Regression in machine learning,https://www.geeksforgeeks.org/regression-in-machine-learning/
Machine Learning Lifecycle,https://www.geeksforgeeks.org/machine-learning-lifecycle/
"Feature Engineering: Scaling, Normalization, and Standardization",https://www.geeksforgeeks.org/ml-feature-scaling-part-2/
Linear Regression in Machine learning,https://www.geeksforgeeks.org/ml-linear-regression/
Gradient Descent in Linear Regression,https://www.geeksforgeeks.org/gradient-descent-in-linear-regression/
Linear Regression Implementation From Scratch using Python,https://www.geeksforgeeks.org/linear-regression-implementation-from-scratch-using-python/
Python | Linear Regression using sklearn,https://www.geeksforgeeks.org/python-linear-regression-using-sklearn/
Ridge Regression,https://www.geeksforgeeks.org/what-is-ridge-regression/
What is Lasso Regression?,https://www.geeksforgeeks.org/what-is-lasso-regression/
Implementation of Elastic Net Regression From Scratch,https://www.geeksforgeeks.org/implementation-of-elastic-net-regression-from-scratch/
"Implementation of Lasso, Ridge and Elastic Net",https://www.geeksforgeeks.org/implementation-of-lasso-ridge-and-elastic-net/
Logistic Regression in Machine Learning,https://www.geeksforgeeks.org/understanding-logistic-regression/
Cost function in Logistic Regression in Machine Learning,https://www.geeksforgeeks.org/ml-cost-function-in-logistic-regression/
Implementation of Logistic Regression from Scratch using Python,https://www.geeksforgeeks.org/implementation-of-logistic-regression-from-scratch-using-python/
Decision Tree in Machine Learning,https://www.geeksforgeeks.org/decision-tree-introduction-example/
Feature selection using Decision Tree,https://www.geeksforgeeks.org/feature-selection-using-decision-tree/
Python | Decision Tree Regression using sklearn,https://www.geeksforgeeks.org/python-decision-tree-regression-using-sklearn/
Building and Implementing Decision Tree Classifiers with Scikit-Learn: A Comprehensive Guide,https://www.geeksforgeeks.org/building-and-implementing-decision-tree-classifiers-with-scikit-learn-a-comprehensive-guide/
Decision Tree Algorithms,https://www.geeksforgeeks.org/decision-tree-algorithms/
Support Vector Machine (SVM) Algorithm,https://www.geeksforgeeks.org/support-vector-machine-algorithm/
Classifying data using Support Vector Machines(SVMs) in Python,https://www.geeksforgeeks.org/classifying-data-using-support-vector-machinessvms-in-python/
SVM Hyperparameter Tuning using GridSearchCV | ML,https://www.geeksforgeeks.org/svm-hyperparameter-tuning-using-gridsearchcv-ml/
ML | Non-Linear SVM,https://www.geeksforgeeks.org/ml-non-linear-svm/
ML | Using SVM to perform classification on a non-linear dataset,https://www.geeksforgeeks.org/ml-using-svm-to-perform-classification-on-a-non-linear-dataset/
K-Nearest Neighbor(KNN) Algorithm,https://www.geeksforgeeks.org/k-nearest-neighbours/
Understanding Decision Boundaries in K-Nearest Neighbors (KNN),https://www.geeksforgeeks.org/understanding-decision-boundaries-in-k-nearest-neighbors-knn/
k-nearest neighbor algorithm in Python,https://www.geeksforgeeks.org/k-nearest-neighbor-algorithm-in-python/
Naive Bayes Classifiers,https://www.geeksforgeeks.org/naive-bayes-classifiers/
Gaussian Naive Bayes,https://www.geeksforgeeks.org/gaussian-naive-bayes/
ML | Naive Bayes Scratch Implementation using Python,https://www.geeksforgeeks.org/ml-naive-bayes-scratch-implementation-using-python/
Gaussian Naive Bayes using Sklearn,https://www.geeksforgeeks.org/gaussian-naive-bayes-using-sklearn/
Multinomial Naive Bayes,https://www.geeksforgeeks.org/multinomial-naive-bayes/
Bernoulli Naive Bayes,https://www.geeksforgeeks.org/bernoulli-naive-bayes/
Complement Naive Bayes (CNB) Algorithm,https://www.geeksforgeeks.org/complement-naive-bayes-cnb-algorithm/
Random Forest Algorithm in Machine Learning,https://www.geeksforgeeks.org/random-forest-algorithm-in-machine-learning/
Ensemble Learning,https://www.geeksforgeeks.org/a-comprehensive-guide-to-ensemble-learning/
Random Forest Hyperparameter Tuning in Python,https://www.geeksforgeeks.org/random-forest-hyperparameter-tuning-in-python/
Random Forest Regression in Python,https://www.geeksforgeeks.org/random-forest-regression-in-python/
Gradient Boosting in ML,https://www.geeksforgeeks.org/ml-gradient-boosting/
XGBoost,https://www.geeksforgeeks.org/xgboost/
LightGBM (Light Gradient Boosting Machine),https://www.geeksforgeeks.org/lightgbm-light-gradient-boosting-machine/
CatBoost in Machine Learning,https://www.geeksforgeeks.org/catboost-ml/
Implementing the AdaBoost Algorithm From Scratch,https://www.geeksforgeeks.org/implementing-the-adaboost-algorithm-from-scratch/
Gradient Boosting for Linear Regression: Enhancing Predictive Accuracy,https://www.geeksforgeeks.org/gradient-boosting-for-linear-regression-enhancing-predictive-accuracy/
Clustering in Machine Learning,https://www.geeksforgeeks.org/clustering-in-machine-learning/
K means Clustering – Introduction,https://www.geeksforgeeks.org/k-means-clustering-introduction/
Elbow Method for optimal value of k in KMeans,https://www.geeksforgeeks.org/elbow-method-for-optimal-value-of-k-in-kmeans/
Fuzzy C-means Clustering in MATLAB,https://www.geeksforgeeks.org/fuzzy-c-means-clustering-in-matlab/
Gaussian Mixture Model,https://www.geeksforgeeks.org/gaussian-mixture-model/
Hierarchical Clustering in Machine Learning,https://www.geeksforgeeks.org/hierarchical-clustering/
Implementing Agglomerative Clustering using Sklearn,https://www.geeksforgeeks.org/implementing-agglomerative-clustering-using-sklearn/
DBSCAN Clustering in ML | Density based clustering,https://www.geeksforgeeks.org/dbscan-clustering-in-ml-density-based-clustering/
ML | OPTICS Clustering Explanation,https://www.geeksforgeeks.org/ml-optics-clustering-explanation/
Introduction to Dimensionality Reduction,https://www.geeksforgeeks.org/dimensionality-reduction/
Principal Component Analysis(PCA),https://www.geeksforgeeks.org/principal-component-analysis-pca/
Singular Value Decomposition (SVD),https://www.geeksforgeeks.org/singular-value-decomposition-svd/
Exploratory Data Analysis,https://www.geeksforgeeks.org/what-is-exploratory-data-analysis/?utm_source=geeksforgeeks&utm_medium=gfgcontent_shm&utm_campaign=shm
Maths for Machine Learning,https://www.geeksforgeeks.org/machine-learning-mathematics/?utm_source=geeksforgeeks&utm_medium=gfgcontent_shm&utm_campaign=shm
Deep Learning Tutorial,https://www.geeksforgeeks.org/deep-learning-tutorial/?utm_source=geeksforgeeks&utm_medium=gfgcontent_shm&utm_campaign=shm
Neural Network,https://www.geeksforgeeks.org/neural-networks-a-beginners-guide/
Difference between ANN and BNN,https://www.geeksforgeeks.org/difference-between-ann-and-bnn/
Single Layer Perceptron in TensorFlow,https://www.geeksforgeeks.org/single-layer-perceptron-in-tensorflow/
Multi-Layer Perceptron Learning in Tensorflow,https://www.geeksforgeeks.org/multi-layer-perceptron-learning-in-tensorflow/
Layers in Artificial Neural Networks (ANN),https://www.geeksforgeeks.org/layers-in-artificial-neural-networks-ann/
Artificial Neural Networks and its Applications,https://www.geeksforgeeks.org/artificial-neural-networks-and-its-applications/
Weights and Bias in Neural Networks,https://www.geeksforgeeks.org/the-role-of-weights-and-bias-in-neural-networks/
Forward Propagation in Neural Networks,https://www.geeksforgeeks.org/what-is-forward-propagation-in-neural-networks/
Activation functions in Neural Networks,https://www.geeksforgeeks.org/activation-functions-neural-networks/
Loss Functions in Deep Learning,https://www.geeksforgeeks.org/loss-functions-in-deep-learning/
Backpropagation in Neural Network,https://www.geeksforgeeks.org/backpropagation-in-neural-network/
Learning Rate in Neural Network,https://www.geeksforgeeks.org/impact-of-learning-rate-on-a-model/
Feedforward Neural Network,https://www.geeksforgeeks.org/feedforward-neural-network/
Optimization Algorithms in Machine Learning,https://www.geeksforgeeks.org/optimization-algorithms-in-machine-learning/
Gradient Descent Algorithm in Machine Learning,https://www.geeksforgeeks.org/gradient-descent-algorithm-and-its-variants/
ML | Stochastic Gradient Descent (SGD),https://www.geeksforgeeks.org/ml-stochastic-gradient-descent-sgd/
ML | Mini-Batch Gradient Descent with Python,https://www.geeksforgeeks.org/ml-mini-batch-gradient-descent-with-python/
RMSProp Optimizer in Deep Learning,https://www.geeksforgeeks.org/rmsprop-optimizer-in-deep-learning/
What is Adam Optimizer?,https://www.geeksforgeeks.org/adam-optimizer/
Introduction to Convolution Neural Network,https://www.geeksforgeeks.org/introduction-convolution-neural-network/
Digital Image Processing Basics,https://www.geeksforgeeks.org/digital-image-processing-basics/
Importance of Convolutional Neural Network | ML,https://www.geeksforgeeks.org/importance-of-convolutional-neural-network-ml/
ML | Introduction to Strided Convolutions,https://www.geeksforgeeks.org/ml-introduction-to-strided-convolutions/
CNN | Introduction to Padding,https://www.geeksforgeeks.org/cnn-introduction-to-padding/
What are Convolution Layers?,https://www.geeksforgeeks.org/what-are-convolution-layers/
CNN | Introduction to Pooling Layer,https://www.geeksforgeeks.org/cnn-introduction-to-pooling-layer/
What is Fully Connected Layer in Deep Learning?,https://www.geeksforgeeks.org/what-is-fully-connected-layer-in-deep-learning/
What is Batch Normalization in CNN?,https://www.geeksforgeeks.org/what-is-batch-normalization-in-cnn/
Backpropagation in Convolutional Neural Networks,https://www.geeksforgeeks.org/backpropagation-in-convolutional-neural-networks/
Introduction to Recurrent Neural Networks,https://www.geeksforgeeks.org/introduction-to-recurrent-neural-network/
Vanishing and Exploding Gradients Problems in Deep Learning,https://www.geeksforgeeks.org/vanishing-and-exploding-gradients-problems-in-deep-learning/
Difference Between Feed-Forward Neural Networks and Recurrent Neural Networks,https://www.geeksforgeeks.org/difference-between-feed-forward-neural-networks-and-recurrent-neural-networks/
Back Propagation through time – RNN,https://www.geeksforgeeks.org/ml-back-propagation-through-time/
Types of Recurrent Neural Networks (RNN) in Tensorflow,https://www.geeksforgeeks.org/types-of-recurrent-neural-networks-rnn-in-tensorflow/
Bidirectional Recurrent Neural Network,https://www.geeksforgeeks.org/bidirectional-recurrent-neural-network/
What is LSTM – Long Short Term Memory?,https://www.geeksforgeeks.org/deep-learning-introduction-to-long-short-term-memory/
Bidirectional LSTM in NLP,https://www.geeksforgeeks.org/bidirectional-lstm-in-nlp/
Gated Recurrent Unit Networks,https://www.geeksforgeeks.org/gated-recurrent-unit-networks/
LeNet-5 Architecture,https://www.geeksforgeeks.org/lenet-5-architecture/
ML | Getting Started With AlexNet,https://www.geeksforgeeks.org/ml-getting-started-with-alexnet/
Generative Adversarial Network (GAN),https://www.geeksforgeeks.org/generative-adversarial-network-gan/
Autoencoders in Machine Learning,https://www.geeksforgeeks.org/auto-encoders/
Restricted Boltzmann Machine,https://www.geeksforgeeks.org/restricted-boltzmann-machine/
Deep Convolutional GAN with Keras,https://www.geeksforgeeks.org/deep-convolutional-gan-with-keras/
Conditional Generative Adversarial Network,https://www.geeksforgeeks.org/conditional-generative-adversarial-network/
Super Resolution GAN (SRGAN),https://www.geeksforgeeks.org/super-resolution-gan-srgan/
Wasserstein Generative Adversarial Networks (WGANs) Convergence and Optimization,https://www.geeksforgeeks.org/wasserstein-generative-adversarial-networks-wgans-convergence-and-optimization/
Cycle Generative Adversarial Network (CycleGAN),https://www.geeksforgeeks.org/cycle-generative-adversarial-network-cyclegan-2/
StyleGAN – Style Generative Adversarial Networks,https://www.geeksforgeeks.org/stylegan-style-generative-adversarial-networks/
Sparse Autoencoders in Deep Learning,https://www.geeksforgeeks.org/sparse-autoencoders-in-deep-learning/
Denoising AutoEncoders In Machine Learning,https://www.geeksforgeeks.org/denoising-autoencoders-in-machine-learning/
Implement Convolutional Autoencoder in PyTorch with CUDA,https://www.geeksforgeeks.org/implement-convolutional-autoencoder-in-pytorch-with-cuda/
Variational AutoEncoders,https://www.geeksforgeeks.org/variational-autoencoders/
Natural Language Processing (NLP) Tutorial,https://www.geeksforgeeks.org/natural-language-processing-nlp-tutorial/?utm_source=geeksforgeeks&utm_medium=gfgcontent_shm&utm_campaign=shm
Artificial Intelligence | Natural Language Generation,https://www.geeksforgeeks.org/artificial-intelligence-natural-language-generation/
"Introduction to NLTK: Tokenization, Stemming, Lemmatization, POS Tagging",https://www.geeksforgeeks.org/introduction-to-nltk-tokenization-stemming-lemmatization-pos-tagging/
Hugging Face Transformers Introduction,https://www.geeksforgeeks.org/hugging-face-transformers/
Normalizing Textual Data with Python,https://www.geeksforgeeks.org/normalizing-textual-data-with-python/
